"","SITE","lat","DHW_Mean","DHW_MeanMax_Major","DHW_Dur","DHW_Dur_Major","DHW_Max_Major","DHW_Max_Major5","SST_AnnRange","SST_MonthRange","SST_Mean","SST_Q05","SST_Q95","SST_SD","SST_BiweekRange"
"1","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723
"2","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429
"3","TUT-216",-14.329052,20.6169414520264,20.6169414520264,174,102,20.6169414520264,20.6169414520264,2.82750034332275,1.34025049209595,28.9828904347877,27.5096000671387,30.5235996246338,0.952173753163818,0.942963140982169
"4","TUT-083",-14.332102,15.7151980400085,15.7151980400085,123,94,15.7151980400085,18.3393058776855,2.79750061035156,1.21725018819173,28.9113151079988,27.4439998626709,30.3856006622314,0.926921928235191,0.865888948793764
"5","TUT-126",-14.336157,18.3957347869873,18.3957347869873,149,100,18.3957347869873,18.3957347869873,2.82000064849854,1.30416663487752,28.9541397251495,27.4681991577148,30.4540000915527,0.942267059302221,0.917666682490596
"6","TUT-139",-14.352648,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.85249996185303,1.29858350753784,28.942750716536,27.4592002868652,30.4468002319336,0.941314666663432,0.915407463356301
"7","TUT-086",-14.27703,20.9342250823975,20.9342250823975,124,97,20.9342250823975,20.9342250823975,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723
"8","TUT-157",-14.274192,20.9342250823975,20.9342250823975,124,97,20.9342250823975,20.9342250823975,3.0310001373291,1.27425003051758,28.9106493701674,27.4267993927002,30.4484001159668,0.94296886928663,0.934963296960901
"9","TUT-219",-14.28823,17.6321678161621,17.6321678161621,118,94,17.6321678161621,18.1391658782959,2.94700050354004,1.24383370081584,28.8998629530815,27.428800201416,30.369800567627,0.933210480412314,0.906740895024052
"10","TUT-220",-14.300247,19.1003360748291,19.1003360748291,123,96,19.1003360748291,19.1003360748291,2.88200092315674,1.22775014241536,28.9152630270344,27.4624004364014,30.3860004425049,0.932016842589759,0.879592542295103
"11","TUT-221",-14.362476,13.4450359344482,13.4450359344482,104,93,13.4450359344482,14.7560300827026,2.85100078582764,1.24416700998942,28.926161674604,27.4659996032715,30.3705997467041,0.931263315765222,0.883296401412399
"12","TUT-222",-14.363787,14.2315549850464,14.2315549850464,104,94,14.2315549850464,14.2315549850464,2.88249969482422,1.26433308919271,28.9315452209891,27.456600189209,30.4245998382568,0.936727536668241,0.899703767564562
"13","TUT-223",-14.35909,15.5891466140747,15.5891466140747,149,91,15.5891466140747,15.5891466140747,2.88899898529053,1.30883328119914,28.9370985423049,27.4631996154785,30.4426002502441,0.942963924181437,0.923962981612594
"14","TUT-098",-14.314128,18.0591239929199,18.0591239929199,187,96,18.0591239929199,19.2251262664795,2.92250061035156,1.23975006739299,28.8929999939383,27.4442005157471,30.3706001281738,0.927238820005923,0.902148070158782
"15","TUT-077",-14.304935,14.9685335159302,14.9685335159302,118,92,14.9685335159302,19.8810443878174,2.98550033569336,1.28824996948242,28.8898027707453,27.4404003143311,30.3986000061035,0.933838648851729,0.933777632536712
