"","SITE","lat","DHW_Mean","DHW_MeanMax_Major","DHW_Dur","DHW_Dur_Major","DHW_Max_Major","DHW_Max_Major5","SST_AnnRange","SST_MonthRange","SST_Mean","SST_Q05","SST_Q95","SST_SD","SST_BiweekRange","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period","month","prop_DEAD"
"1","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,50,11.5824,60,60,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.6
"2","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,70,11.5824,60,90,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.9
"3","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,70,11.5824,60,60,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.6
"4","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,50,11.5824,60,50,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.5
"5","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,100,11.5824,60,80,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.8
"6","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,50,11.5824,60,20,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.2
"7","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,45,9.144,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.95
"8","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,75,9.144,60,80,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.8
"9","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,55,9.144,60,5,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.05
"10","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,80,9.144,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.95
"11","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,50,9.144,60,0,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0
"12","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,50,9.144,60,90,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.9
"13","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,41,14.3256,60,45,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.45
"14","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,62,14.3256,60,45,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.45
"15","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,49,14.3256,60,55,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.55
"16","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,70,14.3256,60,60,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.6
"17","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,68,14.3256,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.95
"18","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,65,14.3256,60,98,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.98
"19","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,97,14.3256,60,90,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.9
"20","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,105,14.3256,60,85,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.85
"21","TUT-214",-14.28309,17.4555721282959,17.4555721282959,118,94,17.4555721282959,20.023509979248,3.00899982452393,1.27966658274333,28.9006602875174,27.4349994659424,30.4157997131348,0.939818043309482,0.934370323463723,2025-03-12,47,14.3256,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching",3,0.95
"22","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,50,13.1064,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.8
"23","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,100,13.1064,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.8
