"","SITE","SST_range","SST_Mean","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period"
"42","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,9.144,60,15,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"43","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",10,9.144,60,10,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"44","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,9.144,60,10,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"45","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,9.144,60,10,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"46","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",80,9.144,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"47","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",15,9.144,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"48","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",15,9.144,60,20,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"49","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",25,9.144,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"50","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"51","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",20,9.144,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"52","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",50,9.144,60,0,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"53","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,9.144,60,15,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"54","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",50,9.144,60,90,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"55","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,9.144,60,15,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"56","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,9.144,60,15,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"57","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",15,9.144,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"58","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",22,14.3256,60,2,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"59","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",31,14.3256,60,85,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"60","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",41,14.3256,60,45,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"61","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",62,14.3256,60,45,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"62","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",49,14.3256,60,55,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"63","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",18,14.3256,60,2,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"64","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",70,14.3256,60,60,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"65","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",17,14.3256,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"66","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",140,14.3256,60,70,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"67","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",27,14.3256,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"68","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",68,14.3256,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"69","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"70","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",8,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"71","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
