"column_names"
"SITE"
"region"
"island"
"lon"
"lat"
"year"
"month"
"day"
"date"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_WK01"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_MO01"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_MO03"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_MO06"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_YR03"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_YR05"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10YR01"
"mean_Bleaching_Alert_Area_7daymax_CRW_Daily_ALLB4"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_WK01"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_MO01"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_MO03"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_MO06"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_YR03"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_YR05"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10YR01"
"q05_Bleaching_Alert_Area_7daymax_CRW_Daily_ALLB4"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_WK01"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_MO01"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_MO03"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_MO06"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_YR03"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_YR05"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10YR01"
"q95_Bleaching_Alert_Area_7daymax_CRW_Daily_ALLB4"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_WK01"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_MO01"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_MO03"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_MO06"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_YR03"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_YR05"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10YR01"
"sd_Bleaching_Alert_Area_7daymax_CRW_Daily_ALLB4"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_WK01"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_MO01"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_MO03"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_MO06"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR03"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR05"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10YR01"
"mean_annual_range_Bleaching_Alert_Area_7daymax_CRW_Daily_ALLB4"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_WK01"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_MO01"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_MO03"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_MO06"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR01"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR03"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR05"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_YR10YR01"
"mean_monthly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_ALLB4"
"mean_biweekly_range_Bleaching_Alert_Area_7daymax_CRW_Daily_DY01"
