,YEAR,DATE_,SITE,LATITUDE.x,LONGITUDE.x,MAX_DEPTH_M.x,SURVEYAREA,COL_COUNT,YEAR.y,LATITUDE.y,LONGITUDE.y,MAX_DEPTH_M.y,DATE_formatted,DATE,month,DENSITY,removed_count,min_size,max_size,adjusted_colony_count,adjusted_density
45,2018,7/5/2018 0:00,TUT-05005,-14.27683,-170.5576,13.71533,10,0,2018,-14.27683,-170.5576,13.71533,7/5/2018,7/5/2018,7,0,NA,NA,NA,0,0
46,2023,4/17/2023 11:28,TUT-05743,-14.27975,-170.6196,14.93447,10,1,2023,-14.27975,-170.6196,14.93447,4/17/2023,4/17/2023,4,0.1,NA,NA,NA,1,0.1
47,2023,4/18/2023 10:40,TUT-05788,-14.36115,-170.7483,13.10576,10,0,2023,-14.36115,-170.7483,13.10576,4/18/2023,4/18/2023,4,0,NA,NA,NA,0,0
48,2023,4/18/2023 12:44,TUT-05795,-14.36406,-170.7618,7.924413,10,18,2023,-14.36406,-170.7618,7.924413,4/18/2023,4/18/2023,4,1.8,NA,NA,NA,18,1.8
49,2023,4/18/2023 11:22,TUT-05797,-14.36562,-170.7629,11.88662,10,0,2023,-14.36562,-170.7629,11.88662,4/18/2023,4/18/2023,4,0,NA,NA,NA,0,0
50,2023,4/20/2023 11:33,TUT-05804,-14.30062,-170.5733,17.67754,7.5,0,2023,-14.30062,-170.5733,17.67754,4/20/2023,4/20/2023,4,0,NA,NA,NA,0,0
51,2023,4/20/2023 12:02,TUT-05810,-14.27945,-170.5477,11.58183,10,0,2023,-14.27945,-170.5477,11.58183,4/20/2023,4/20/2023,4,0,NA,NA,NA,0,0
52,2023,4/20/2023 13:42,TUT-05811,-14.27716,-170.5486,10.36269,10,0,2023,-14.27716,-170.5486,10.36269,4/20/2023,4/20/2023,4,0,NA,NA,NA,0,0
53,2023,4/12/2023 11:15,TUT-05839,-14.33713,-170.7069,14.02012,10,0,2023,-14.33713,-170.7069,14.02012,4/12/2023,4/12/2023,4,0,NA,NA,NA,0,0
54,2023,4/19/2023 12:36,TUT-05840,-14.35379,-170.7301,15.23926,10,0,2023,-14.35379,-170.7301,15.23926,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
55,2023,4/19/2023 13:49,TUT-05842,-14.34839,-170.7258,11.27705,10,0,2023,-14.34839,-170.7258,11.27705,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
